chunk_id,podcast_id,filename,podcast_title,chunk_index,content_preview,embedding_size
897,24,2025-06-24_Software Engineering Daily_Google Ventures with Erik Norlander.txt,Software Engineering Daily Google Ventures with Erik Norlander,22,you know I don't have any Google stock from GV as nice as that might have been over the last couple years but it keeps us really really aligned with the founders we're backing and I think that's that',16002
676,17,2025-07-11_All-In with Chamath_ Jason_ Sacks _ Friedberg_Grok 4 Wows_ The Bitter Lesson_ Elon_s Third Party_ AI Browsers_ SCOTUS backs POTUS on RIFs.txt,All In with Chamath Jason Sacks Friedberg Grok 4 Wows The Bitter Lesson Elon s Third Party AI Browsers SCOTUS backs POTUS on RIFs,38,"like so many parts of the story are misunderstood and not really understood and how various confluences of somewhat random things lead to a very catastrophic result, but it it's it's like as um dramat",15963
601,15,2025-07-14_Minus One_Alexandr Wang_ Scale AI_ _ the Startup Hunger Games.txt,Minus One Alexandr Wang Scale AI the Startup Hunger Games,22,and also something that you can keep investing in for a long time Horizon like I think for at least right now in AI like the the premium is actually just picking a certain problem to care about for a ,15993
488,12,2025-06-18_Y Combinator Startup Podcast_Cursor CEO_ Going Beyond Code_ Superintelligent AI Agents And Why Taste Still Matters.txt,Y Combinator Startup Podcast Cursor CEO Going Beyond Code Superintelligent AI Agents And Why Taste Still Matters,2,that's very easy. Is there a point that you're tracking right now where oh well that's when you know just vibe coding it stops working and that's when things sort of become real. The vibe coding style,15985
849,23,2025-07-06_Signals and Threads_What Is an Operating System_ with Anil Madhavapeddy.txt,Signals and Threads What Is an Operating System with Anil Madhavapeddy,6,from low level interfaces figuring out what the system abstractions that we need are and then filling in the blanks with libraries so it did start as a stunt i think all good systems projects start wi,16011
337,10,2025-07-14_Lex Fridman Podcast__474 _ DHH_ Future of Programming_ AI_ Ruby on Rails_ Productivity _ Parenting.txt,Lex Fridman Podcast 474 DHH Future of Programming AI Ruby on Rails Productivity Parenting,26,"a better mousetrap or better idea, others will eventually copy them to such an extent that perhaps the original mousetrap is no longer even remembered. No one has been able to copy that essence of Rub",15988
695,18,2025-07-06_Signals and Threads_An inside look at Jane Street_s tech internship with Jeanne Van Briesen_ Matt Else_ and Grace Zhang.txt,Signals and Threads An inside look at Jane Street s tech internship with Jeanne Van Briesen Matt Else and Grace Zhang,16,top of the interface that I designed but it's still alive and going even now so you guys were all interns and now you all work full time I'd be interested in hearing a little bit more about what that ,15983
852,23,2025-07-06_Signals and Threads_What Is an Operating System_ with Anil Madhavapeddy.txt,Signals and Threads What Is an Operating System with Anil Madhavapeddy,9,other way is to have a pure camel implementation that goes all the way down and run that inside of hypervisor or maybe run it inside of on an actual bare metal server right so there's an enormous amou,15965
529,13,2025-07-06_Signals and Threads_Python_ OCaml_ and Machine Learning with Laurent Mazare.txt,Signals and Threads Python OCaml and Machine Learning with Laurent Mazare,22,it's pretty neat it might be the case that you want to rerun a cell and not rerun long uh things that would be too long to run so it's a bit of a user interface problem at some point yeah although I g,15983
680,18,2025-07-06_Signals and Threads_An inside look at Jane Street_s tech internship with Jeanne Van Briesen_ Matt Else_ and Grace Zhang.txt,Signals and Threads An inside look at Jane Street s tech internship with Jeanne Van Briesen Matt Else and Grace Zhang,1,I heard about Jane Street through Cary melon's functional programming class people would always ask questions like oh when is functional programming going to be useful and then they would say oh but d,15932
492,12,2025-06-18_Y Combinator Startup Podcast_Cursor CEO_ Going Beyond Code_ Superintelligent AI Agents And Why Taste Still Matters.txt,Y Combinator Startup Podcast Cursor CEO Going Beyond Code Superintelligent AI Agents And Why Taste Still Matters,6,high level taste of the implementation details of how that maps onto a physical computer. But then right now a lot of programming is kind of this human compilation that you're doing where you kind of ,16014
264,8,2025-06-26_WayForward Games with Tomm Hulett and Voldi Way.txt,WayForward Games with Tomm Hulett and Voldi Way,4,"it. What do you think?"" And Konami said, ""Hey, that's all great. We agree it should be 2D. We're doing this reimagining of the first game."" And then, we got kind of the download of what the game would",15953
888,24,2025-06-24_Software Engineering Daily_Google Ventures with Erik Norlander.txt,Software Engineering Daily Google Ventures with Erik Norlander,13,now and being very excited about it but also understanding that this was a big technical build and those are great projects for GV you know we see an enormous opportunity but it requires building lots,15959
239,7,2025-06-12_TanStack and the Future of Frontend with Tanner Linsley.txt,TanStack and the Future of Frontend with Tanner Linsley,1,"very first ones that I wrote that is still around today. Yeah, so I wrote ReactTable way back. We needed it at Nozzle. I have a video from React Summit in 2020 something. I can't remember. But I talke",15976
790,21,2025-07-07_The Top Shelf_Chris Lattner_ Creator of LLVM_ Swift_ and Mojo.txt,The Top Shelf Chris Lattner Creator of LLVM Swift and Mojo,23,with python whether you love all the pieces or not like it it makes it much easier to bring over and L comprehension yeah will do that it's we just haven't gone around to either yeah now when you grow,15993
552,14,2025-06-19_Latent Space_ The AI Engineer Podcast_Scaling Test Time Compute to Multi-Agent Civilizations _ Noam Brown_ OpenAI.txt,Latent Space The AI Engineer Podcast Scaling Test Time Compute to Multi Agent Civilizations Noam Brown OpenAI,16,after we announced um 01 and they told me that like at the time they really didn't think this like reasoning thing like this these O series the strawberry models were like that that big of a deal. It ,15990
240,7,2025-06-12_TanStack and the Future of Frontend with Tanner Linsley.txt,TanStack and the Future of Frontend with Tanner Linsley,2,a little bit. TanStack Start is going to have - already has some static site generation features to it that are pretty cool in my opinion. It's kind of like bringing back React Static for me because i,15986
526,13,2025-07-06_Signals and Threads_Python_ OCaml_ and Machine Learning with Laurent Mazare.txt,Signals and Threads Python OCaml and Machine Learning with Laurent Mazare,19,of laid out in a Big Grid and also it has a bunch of baked in totally terrifying weird behaviors I'm reminded of this recent news where some organization in the academic genomics Community changed the,15964
207,6,2025-06-21_All-In with Chamath_ Jason_ Sacks _ Friedberg_IPOs and SPACs are Back_ Mag 7 Showdown_ Zuck on Tilt_ Apple_s Fumble_ GENIUS Act passes Senate.txt,All In with Chamath Jason Sacks Friedberg IPOs and SPACs are Back Mag 7 Showdown Zuck on Tilt Apple s Fumble GENIUS Act passes Senate,23,humanity. It's a great unlock as a consumer. it's feasible technically and I'm sure Apple of everyone that we've referenced today is best suited to both access the consumer design and engineer this so,15964
670,17,2025-07-11_All-In with Chamath_ Jason_ Sacks _ Friedberg_Grok 4 Wows_ The Bitter Lesson_ Elon_s Third Party_ AI Browsers_ SCOTUS backs POTUS on RIFs.txt,All In with Chamath Jason Sacks Friedberg Grok 4 Wows The Bitter Lesson Elon s Third Party AI Browsers SCOTUS backs POTUS on RIFs,32,"didn't run on the platform. I don't think anybody should mention that. JD Vance had this great book, captured people's imagination. He's an incredible speaker. He pisses off a third or twothirds of th",16014
559,14,2025-06-19_Latent Space_ The AI Engineer Podcast_Scaling Test Time Compute to Multi-Agent Civilizations _ Noam Brown_ OpenAI.txt,Latent Space The AI Engineer Podcast Scaling Test Time Compute to Multi Agent Civilizations Noam Brown OpenAI,23,"human could, but like it's doing a better job than a human would. That word alignment, by the way, I think there's like an interesting overwriting or uh homorphism between safety alignment and instruc",15995
367,10,2025-07-14_Lex Fridman Podcast__474 _ DHH_ Future of Programming_ AI_ Ruby on Rails_ Productivity _ Parenting.txt,Lex Fridman Podcast 474 DHH Future of Programming AI Ruby on Rails Productivity Parenting,56,"megabytes of uncompressed JavaScript. If you compress it, I think it's about six megabytes, 28 megabytes. Think about how many lines of code that is. When HEY launched, we shipped 40 kilobytes. It's t",16015
252,7,2025-06-12_TanStack and the Future of Frontend with Tanner Linsley.txt,TanStack and the Future of Frontend with Tanner Linsley,14,"you can say --add-ons and it brings up this select list where you're like, ""Oh, I want to add Tailwind, Shadcn, Sentry. I want to add Netlify stuff, like a demo for Netlify things."" You can just check",15987
196,6,2025-06-21_All-In with Chamath_ Jason_ Sacks _ Friedberg_IPOs and SPACs are Back_ Mag 7 Showdown_ Zuck on Tilt_ Apple_s Fumble_ GENIUS Act passes Senate.txt,All In with Chamath Jason Sacks Friedberg IPOs and SPACs are Back Mag 7 Showdown Zuck on Tilt Apple s Fumble GENIUS Act passes Senate,12,in private. There's nothing public. There's nothing private. It just seems like they're transitioning into being a cash cow and getting into sort of that cash harvesting mode. But it's almost weird th,16010
37,2,2025-06-17_SED News_ Corporate Spies_ Postgres_ and the Weird Life of Devs Right Now.txt,SED News Corporate Spies Postgres and the Weird Life of Devs Right Now,13,"then just cranking out exactly what you intend. You can still sort of say, ""Hey, make it more elegant, literally."" And off we go. It becomes more elegant. I think on the backend, yeah, it's a good poi",16005
847,23,2025-07-06_Signals and Threads_What Is an Operating System_ with Anil Madhavapeddy.txt,Signals and Threads What Is an Operating System with Anil Madhavapeddy,4,instead of all of the traditional abstractions that we needed when we were separating out different users maybe we could do something radically different that's where i see something like mirage os sh,15977
14,1,2025-06-17_Software Engineering Daily_NVIDIA_s Agentic AI for Container Security with Amanda Saunders and Allan Enemark.txt,Software Engineering Daily NVIDIA s Agentic AI for Container Security with Amanda Saunders and Allan Enemark,13,that either you or your your it person can go deploy and then we build apis on top of them so we use whatever's common in the industry and we try to be compatible with that or we invent it ourselves i,15963
787,21,2025-07-07_The Top Shelf_Chris Lattner_ Creator of LLVM_ Swift_ and Mojo.txt,The Top Shelf Chris Lattner Creator of LLVM Swift and Mojo,20,is the goal right and so people ask me all the time the other side which is your mojo is the super set of python uh how do you handle the fact that python will keep changing Python's not a dead langua,15903
812,22,2025-05-31_All-In with Chamath_ Jason_ Sacks _ Friedberg_AI Doom vs Boom_ EA Cult Returns_ BBB Upside_ US Steel and Golden Votes.txt,All In with Chamath Jason Sacks Friedberg AI Doom vs Boom EA Cult Returns BBB Upside US Steel and Golden Votes,11,"as fast as possible. So the bad guys, China, don't get it first. That that's a well open competition. I don't know if I would frame it around AGI specifically, but what I would say is that look, I thi",15995
383,10,2025-07-14_Lex Fridman Podcast__474 _ DHH_ Future of Programming_ AI_ Ruby on Rails_ Productivity _ Parenting.txt,Lex Fridman Podcast 474 DHH Future of Programming AI Ruby on Rails Productivity Parenting,72,"of the things that Amazon had done that I feel now is sort of justified. So that's just sort of part of that processing of it. But on the economic sense, he gave us that confidence. He gave us the eco",15985
88,3,2025-06-13_All-In with Chamath_ Jason_ Sacks _ Friedberg_ICE Raids_ LA Riots_ Strong Economic Data_ Politicized Fed_ Iran War with Tucker Carlson.txt,All In with Chamath Jason Sacks Friedberg ICE Raids LA Riots Strong Economic Data Politicized Fed Iran War with Tucker Carlson,42,"have these two giants at war. The greatest innovator in our country and a president who's got, you know, an agenda which I agree with twothirds of. I may not agree with how he's doing immigration on t",15985
390,10,2025-07-14_Lex Fridman Podcast__474 _ DHH_ Future of Programming_ AI_ Ruby on Rails_ Productivity _ Parenting.txt,Lex Fridman Podcast 474 DHH Future of Programming AI Ruby on Rails Productivity Parenting,79,"just basically work, sleep, hang out with the guys at the office, right? A totally fair. That never appealed to me. Both Jason and I saw eye to eye on the idea that 40 hours a week dedicated to work w",15961
817,22,2025-05-31_All-In with Chamath_ Jason_ Sacks _ Friedberg_AI Doom vs Boom_ EA Cult Returns_ BBB Upside_ US Steel and Golden Votes.txt,All In with Chamath Jason Sacks Friedberg AI Doom vs Boom EA Cult Returns BBB Upside US Steel and Golden Votes,16,contracts and they spend time doing postale implementation and follow-up and they spend time learning the product and giving feedback I mean it's a multifaceted job and you can use AI I to automate pi,15999
610,16,2025-06-04_All-In with Chamath_ Jason_ Sacks _ Friedberg_Jared Isaacman_ What went wrong at NASA _ The All-In Interview.txt,All In with Chamath Jason Sacks Friedberg Jared Isaacman What went wrong at NASA The All In Interview,4,"Dr. De Manis reached out and um asked if uh if I wanted to go to Bikenor and see a Soyuse launch with some of the uh kind of early commercial space pioneers. I remember, you know, all the Google found",15978
495,12,2025-06-18_Y Combinator Startup Podcast_Cursor CEO_ Going Beyond Code_ Superintelligent AI Agents And Why Taste Still Matters.txt,Y Combinator Startup Podcast Cursor CEO Going Beyond Code Superintelligent AI Agents And Why Taste Still Matters,9,to you know get product data of you know what suggestions do people like what do they dislike you know what what are the hard pieces of human human work that the AI still can't really access and you k,15977
494,12,2025-06-18_Y Combinator Startup Podcast_Cursor CEO_ Going Beyond Code_ Superintelligent AI Agents And Why Taste Still Matters.txt,Y Combinator Startup Podcast Cursor CEO Going Beyond Code Superintelligent AI Agents And Why Taste Still Matters,8,first engineering projects actually had to do with AI. So one of us worked on um improving the data efficiency of robotic reinforcement learning. So teaching robots very quickly to learn new tasks. Th,15964
820,22,2025-05-31_All-In with Chamath_ Jason_ Sacks _ Friedberg_AI Doom vs Boom_ EA Cult Returns_ BBB Upside_ US Steel and Golden Votes.txt,All In with Chamath Jason Sacks Friedberg AI Doom vs Boom EA Cult Returns BBB Upside US Steel and Golden Votes,19,"shift. It is a big leap. Is you know it's like when I went to college, when I took computer science, it was object-oriented programming. It was like C++. It was compiled languages. It was gnarly. It w",16020
732,20,2025-07-04_All-In with Chamath_ Jason_ Sacks _ Friedberg_Big Beautiful Bill_ Elon_Trump_ Dollar Down Big_ Harvard_s Money Problems_ Figma IPO.txt,All In with Chamath Jason Sacks Friedberg Big Beautiful Bill Elon Trump Dollar Down Big Harvard s Money Problems Figma IPO,5,"And at some point, we may have a federal regulation about online gambling, right? Uh right now, it's a patchwork. Same thing with cannabis, psychedelics, all a patchwork of different states. Why do yo",15978
17,1,2025-06-17_Software Engineering Daily_NVIDIA_s Agentic AI for Container Security with Amanda Saunders and Allan Enemark.txt,Software Engineering Daily NVIDIA s Agentic AI for Container Security with Amanda Saunders and Allan Enemark,16,to see and we're starting to see a little bit especially internally is sort of daisy chaining blueprints how can you connect these things how can you take pieces from one and add it to another our dig,15956
317,10,2025-07-14_Lex Fridman Podcast__474 _ DHH_ Future of Programming_ AI_ Ruby on Rails_ Productivity _ Parenting.txt,Lex Fridman Podcast 474 DHH Future of Programming AI Ruby on Rails Productivity Parenting,6,who's lugged at halfway around the country to get there is truly special. Because it was also just this burst of creativity. You're constantly running around. You're constantly surrounded by people wh,15978
287,9,2025-06-19_All-In with Chamath_ Jason_ Sacks _ Friedberg_Tony Robbins _ All-In Live from Miami.txt,All In with Chamath Jason Sacks Friedberg Tony Robbins All In Live from Miami,2,"his job. And it was Thanksgiving. We had no money and no food. When I say no food, we had crackers and peanut butter, but you know, not a Thanksgiving dinner, which kind of depressing. And my parents ",15984
283,8,2025-06-26_WayForward Games with Tomm Hulett and Voldi Way.txt,WayForward Games with Tomm Hulett and Voldi Way,23,"Revenge or something where you could make it to a level faster by just back dashing like all the way through the level. It looks totally silly, but I mean, it's hilarious on a speedrun. But it works. ",15984
568,14,2025-06-19_Latent Space_ The AI Engineer Podcast_Scaling Test Time Compute to Multi-Agent Civilizations _ Noam Brown_ OpenAI.txt,Latent Space The AI Engineer Podcast Scaling Test Time Compute to Multi Agent Civilizations Noam Brown OpenAI,32,"to end up with really weird behavior if you start doing the same kind of self-play in things like math. So for example, what does it mean to do self-play in math? you could fall into this trap of like",15974
689,18,2025-07-06_Signals and Threads_An inside look at Jane Street_s tech internship with Jeanne Van Briesen_ Matt Else_ and Grace Zhang.txt,Signals and Threads An inside look at Jane Street s tech internship with Jeanne Van Briesen Matt Else and Grace Zhang,10,definitely this is something I probably didn't realize before I started at Jane Street was the amount of human interaction that's involved you still have lots of people making trades over the phone es,15924
652,17,2025-07-11_All-In with Chamath_ Jason_ Sacks _ Friedberg_Grok 4 Wows_ The Bitter Lesson_ Elon_s Third Party_ AI Browsers_ SCOTUS backs POTUS on RIFs.txt,All In with Chamath Jason Sacks Friedberg Grok 4 Wows The Bitter Lesson Elon s Third Party AI Browsers SCOTUS backs POTUS on RIFs,14,very practical when you see a stop sign you don't have to identify that it's a stop sign. You just see that every human when they encounter a stop sign 99.9% of the time they hit a break and they neve,15998
696,18,2025-07-06_Signals and Threads_An inside look at Jane Street_s tech internship with Jeanne Van Briesen_ Matt Else_ and Grace Zhang.txt,Signals and Threads An inside look at Jane Street s tech internship with Jeanne Van Briesen Matt Else and Grace Zhang,17,scoped out your Mentor probably has a pretty good sense of how long these things might take and a good direction and the probably a sense that you know you we can get there eventually I think as a ful,15892
793,21,2025-07-07_The Top Shelf_Chris Lattner_ Creator of LLVM_ Swift_ and Mojo.txt,The Top Shelf Chris Lattner Creator of LLVM Swift and Mojo,26,for machine learning stuff and um like just getting within the Google confines the approval air quotes which was massively not defined uh of like consensus of yes we should build a new runtime for ten,15959
628,16,2025-06-04_All-In with Chamath_ Jason_ Sacks _ Friedberg_Jared Isaacman_ What went wrong at NASA _ The All-In Interview.txt,All In with Chamath Jason Sacks Friedberg Jared Isaacman What went wrong at NASA The All In Interview,22,to find something even a small probability a 1% let's just say hypothetically it's helium 3 and and they're going to usher in a new form of power. Think about how many conflicts that we've had over th,15954
490,12,2025-06-18_Y Combinator Startup Podcast_Cursor CEO_ Going Beyond Code_ Superintelligent AI Agents And Why Taste Still Matters.txt,Y Combinator Startup Podcast Cursor CEO Going Beyond Code Superintelligent AI Agents And Why Taste Still Matters,4,model really continually learn something kind of something that the field I think still doesn't really have a great solution to like it has always been suspected that it will be or for a lot of people,16000
267,8,2025-06-26_WayForward Games with Tomm Hulett and Voldi Way.txt,WayForward Games with Tomm Hulett and Voldi Way,7,"system, being released interwoven with games that aren't, and they're different continuities, and it's the same universe, but different - you expect different things from them. So, that makes sense. I",16000
642,17,2025-07-11_All-In with Chamath_ Jason_ Sacks _ Friedberg_Grok 4 Wows_ The Bitter Lesson_ Elon_s Third Party_ AI Browsers_ SCOTUS backs POTUS on RIFs.txt,All In with Chamath Jason Sacks Friedberg Grok 4 Wows The Bitter Lesson Elon s Third Party AI Browsers SCOTUS backs POTUS on RIFs,4,you can the in our delivery kitchens the cost of labor is about 30% of revenue. That's what the successful guy let's say 30% 35% of revenue in a in a brickandmortar in a brick and mortar restaurants i,16006
284,8,2025-06-26_WayForward Games with Tomm Hulett and Voldi Way.txt,WayForward Games with Tomm Hulett and Voldi Way,24,"tech, but ever since we've been using Unity and Unreal for everything, we haven't had an engine team. So, all the programmers are basically dedicated to a project, but there are some shared discipline",16031
489,12,2025-06-18_Y Combinator Startup Podcast_Cursor CEO_ Going Beyond Code_ Superintelligent AI Agents And Why Taste Still Matters.txt,Y Combinator Startup Podcast Cursor CEO Going Beyond Code Superintelligent AI Agents And Why Taste Still Matters,3,Right? That's one of the product challenges we have in front of us is you should always be able to move something a few pixels over. You should always be able to edit something very specific about the,15964
885,24,2025-06-24_Software Engineering Daily_Google Ventures with Erik Norlander.txt,Software Engineering Daily Google Ventures with Erik Norlander,10,ooth server implementing oath yourself can be challenging and even risky meanwhile One-Stop identity Solutions can be expensive missing necessary features or not fit into your existing architecture at,15950
544,14,2025-06-19_Latent Space_ The AI Engineer Podcast_Scaling Test Time Compute to Multi-Agent Civilizations _ Noam Brown_ OpenAI.txt,Latent Space The AI Engineer Podcast Scaling Test Time Compute to Multi Agent Civilizations Noam Brown OpenAI,8,"my view is that the ideal harness is no harness Yeah, right. I think harnesses are like a crutch that eventually we're going to be able to move beyond. So, only two costs and you could ask, you know, ",15972
510,13,2025-07-06_Signals and Threads_Python_ OCaml_ and Machine Learning with Laurent Mazare.txt,Signals and Threads Python OCaml and Machine Learning with Laurent Mazare,3,it is about o camel that makes it easier for writing these kind of more robust tasks for catching bugs all of that yeah so I think there are two aspects actually to it one is about okl and the other o,15951
378,10,2025-07-14_Lex Fridman Podcast__474 _ DHH_ Future of Programming_ AI_ Ruby on Rails_ Productivity _ Parenting.txt,Lex Fridman Podcast 474 DHH Future of Programming AI Ruby on Rails Productivity Parenting,67,"teams are better? I think that's really less. Less is more. What did you say before? Worse is better. Okay, I'm sorry. - Worse better on adoption with technology a lot of times. And I think actually c",15968
486,12,2025-06-18_Y Combinator Startup Podcast_Cursor CEO_ Going Beyond Code_ Superintelligent AI Agents And Why Taste Still Matters.txt,Y Combinator Startup Podcast Cursor CEO Going Beyond Code Superintelligent AI Agents And Why Taste Still Matters,0,"# Podcast Transcript # Show: Y Combinator Startup Podcast # Episode: Cursor CEO: Going Beyond Code, Superintelligent AI Agents And Why Taste Still Matters # YouTube URL: https://www.youtube.com/watch?",15997
40,2,2025-06-17_SED News_ Corporate Spies_ Postgres_ and the Weird Life of Devs Right Now.txt,SED News Corporate Spies Postgres and the Weird Life of Devs Right Now,16,"still worth it. Does it ever reach something like $200? I think that'll be a question mark. Let's move on to our next regular segment, which is just taking a little spin across Hacker News from the la",15985
687,18,2025-07-06_Signals and Threads_An inside look at Jane Street_s tech internship with Jeanne Van Briesen_ Matt Else_ and Grace Zhang.txt,Signals and Threads An inside look at Jane Street s tech internship with Jeanne Van Briesen Matt Else and Grace Zhang,8,would do it at around the same time cuz things were busy and lots of people wanted to do it and if it sounds like a nightmare it's because it kind of was so now we have this much more organized proces,15968
184,6,2025-06-21_All-In with Chamath_ Jason_ Sacks _ Friedberg_IPOs and SPACs are Back_ Mag 7 Showdown_ Zuck on Tilt_ Apple_s Fumble_ GENIUS Act passes Senate.txt,All In with Chamath Jason Sacks Friedberg IPOs and SPACs are Back Mag 7 Showdown Zuck on Tilt Apple s Fumble GENIUS Act passes Senate,0,"# Podcast Transcript # Show: All-In with Chamath, Jason, Sacks & Friedberg # Episode: IPOs and SPACs are Back, Mag 7 Showdown, Zuck on Tilt, Apple's Fumble, GENIUS Act passes Senate # YouTube URL: htt",16055
255,7,2025-06-12_TanStack and the Future of Frontend with Tanner Linsley.txt,TanStack and the Future of Frontend with Tanner Linsley,17,"just be like, ""Command K. Write me this logic, but I need you to use node streams. Then I need you to convert them to web streams."" And then I'm watching it go and then I'm learning as I use it too. [",15990
799,21,2025-07-07_The Top Shelf_Chris Lattner_ Creator of LLVM_ Swift_ and Mojo.txt,The Top Shelf Chris Lattner Creator of LLVM Swift and Mojo,32,how can you be faster than x it's like well we have a completely different stack we've built from scratch it's it's it is actually new technology and I think that's where people are I mean maybe it's ,15971
679,18,2025-07-06_Signals and Threads_An inside look at Jane Street_s tech internship with Jeanne Van Briesen_ Matt Else_ and Grace Zhang.txt,Signals and Threads An inside look at Jane Street s tech internship with Jeanne Van Briesen Matt Else and Grace Zhang,0,"# Podcast Transcript # Show: Signals and Threads # Episode: An inside look at Jane Street's tech internship with Jeanne Van Briesen, Matt Else, and Grace Zhang # YouTube URL: https://www.youtube.com/w",15959
219,6,2025-06-21_All-In with Chamath_ Jason_ Sacks _ Friedberg_IPOs and SPACs are Back_ Mag 7 Showdown_ Zuck on Tilt_ Apple_s Fumble_ GENIUS Act passes Senate.txt,All In with Chamath Jason Sacks Friedberg IPOs and SPACs are Back Mag 7 Showdown Zuck on Tilt Apple s Fumble GENIUS Act passes Senate,35,Andre Karpathy talked about integrating Google login into one of his apps. I think it was the his menu gen app. And the comment he made which profoundly hit me is like why am I doing any of this? Why ,16001
801,22,2025-05-31_All-In with Chamath_ Jason_ Sacks _ Friedberg_AI Doom vs Boom_ EA Cult Returns_ BBB Upside_ US Steel and Golden Votes.txt,All In with Chamath Jason Sacks Friedberg AI Doom vs Boom EA Cult Returns BBB Upside US Steel and Golden Votes,0,"# Podcast Transcript # Show: All-In with Chamath, Jason, Sacks & Friedberg # Episode: AI Doom vs Boom, EA Cult Returns, BBB Upside, US Steel and Golden Votes # YouTube URL: https://www.youtube.com/wat",16019
157,5,2025-07-19_All-In with Chamath_ Jason_ Sacks _ Friedberg_Trump vs Powell_ Solving the Debt Crisis_ The _10T AGI Prize_ GENIUS Act Becomes Law.txt,All In with Chamath Jason Sacks Friedberg Trump vs Powell Solving the Debt Crisis The 10T AGI Prize GENIUS Act Becomes Law,11,"centers. Yeah. In your mind, it's not just the general intelligence. That would be the silver medal. People are going for the gold here, not general intelligence, super intelligence breakthroughs that",15986
